Customer_Age,Dependent_count
45,3
49,5
51,3
40,4
40,3
44,2
51,4
32,0
37,3
48,2
42,5
65,1
56,1
35,3
57,2
44,4
48,4
41,3
61,1
45,2
47,1
62,0
41,3
47,4
54,2
41,3
59,1
63,1
44,3
47,4
53,3
53,2
41,4
53,2
58,0
55,1
55,3
42,4
57,1
66,0
45,3
51,2
50,1
49,3
38,4
49,4
56,2
59,1
46,3
52,1
52,3
54,1
66,0
49,2
56,2
49,4
49,3
56,2
44,5
42,2
55,3
48,2
39,1
44,4
53,2
51,4
57,2
44,2
49,2
50,2
51,4
55,2
54,1
42,5
44,1
53,2
44,4
37,3
49,3
47,2
47,3
44,1
55,4
59,1
53,1
52,2
53,2
43,3
44,3
57,2
51,2
49,4
45,1
53,0
45,3
64,1
45,3
53,3
56,3
47,2
49,3
41,3
53,3
44,2
44,3
43,4
53,2
44,1
62,1
54,4
57,4
42,3
42,4
54,0
48,3
49,1
52,3
50,3
49,1
53,2
50,2
55,1
53,1
47,3
55,2
47,3
58,4
53,2
52,2
50,1
42,1
43,4
57,4
52,1
47,2
44,3
53,2
45,4
63,1
39,2
48,5
51,1
54,4
59,1
59,1
48,4
41,2
55,2
47,4
41,2
40,3
68,1
50,1
47,4
53,1
42,5
48,4
49,1
44,2
43,4
56,0
59,1
46,1
47,4
50,4
51,3
47,3
58,4
46,5
53,3
45,4
52,1
53,2
50,2
41,3
45,5
53,3
67,1
57,2
59,1
45,2
51,3
59,1
53,1
47,3
49,3
49,3
60,0
50,2
41,2
57,1
43,4
57,3
54,3
51,5
47,3
41,0
53,3
68,0
59,1
48,4
44,5
48,3
47,4
47,2
43,1
55,2
59,2
63,1
58,2
53,2
59,0
52,3
48,3
43,4
48,2
43,4
44,4
41,3
44,3
50,2
60,1
44,4
48,3
44,2
41,2
45,3
47,2
51,2
51,2
60,1
57,2
41,5
44,3
43,1
55,2
52,1
44,3
41,2
44,4
53,2
39,2
49,5
45,2
54,2
49,3
46,3
46,4
47,3
44,2
50,3
73,0
56,3
59,0
70,0
55,2
43,4
45,1
45,2
40,1
36,2
59,0
43,4
46,1
41,2
51,2
51,3
43,4
64,0
54,5
48,3
40,2
57,0
45,4
41,3
42,4
45,2
42,4
47,4
48,4
43,1
41,4
54,1
54,2
61,0
61,0
48,2
45,4
54,4
54,3
44,3
50,4
55,2
48,2
45,2
60,0
55,2
62,0
38,1
46,3
50,0
45,2
47,3
48,4
35,3
51,2
36,3
47,4
52,2
43,4
63,2
61,0
53,2
53,3
57,3
38,2
53,3
63,0
49,4
45,2
67,0
48,3
51,2
52,2
55,2
34,3
56,1
44,2
47,3
46,3
43,3
50,1
38,4
53,1
43,5
53,1
56,1
54,2
57,3
62,1
46,4
49,2
52,3
58,1
54,0
49,1
58,3
52,2
41,5
62,0
54,2
40,3
43,3
53,2
55,1
46,4
41,1
49,3
61,0
46,2
50,1
40,2
51,4
50,2
47,2
43,4
36,4
47,2
46,2
46,2
52,0
43,4
40,4
54,4
55,1
49,4
45,4
49,3
63,1
40,3
41,2
37,4
58,2
55,2
53,1
57,2
43,4
58,1
64,0
54,2
53,2
39,3
56,3
54,4
59,1
42,3
42,4
43,3
55,0
52,1
46,1
57,2
48,3
45,4
48,2
47,1
42,3
41,2
51,4
55,2
67,1
39,1
54,3
55,2
47,3
49,2
42,2
57,2
44,5
56,3
49,3
45,3
63,0
44,3
44,4
40,3
39,2
42,4
54,3
58,4
46,4
47,4
67,0
50,2
55,0
46,2
47,4
36,2
40,4
57,2
48,1
58,3
48,3
48,3
53,2
50,2
52,1
53,2
56,1
44,5
49,3
54,2
39,1
39,3
41,4
53,2
47,3
46,2
53,1
60,1
59,0
38,1
56,4
35,3
50,3
53,2
63,2
43,2
46,2
61,1
37,0
42,5
41,2
56,2
56,3
52,3
40,3
63,1
58,1
58,4
46,2
37,1
46,4
46,4
41,1
48,3
49,3
44,2
39,3
57,1
48,3
47,3
56,1
54,0
54,1
52,4
43,4
59,1
44,1
56,1
45,4
55,1
48,3
56,5
41,3
65,1
34,4
56,3
62,1
45,3
38,2
49,3
58,2
41,4
33,2
47,4
56,1
51,1
49,1
50,1
55,3
26,0
58,1
46,3
48,4
42,4
37,4
63,0
50,3
41,1
48,3
46,2
61,0
59,0
53,2
39,3
51,3
45,2
48,4
47,1
41,2
48,4
50,4
56,2
39,2
47,1
44,2
61,1
43,2
59,1
42,2
40,4
65,2
48,1
44,2
36,4
45,4
39,2
40,4
62,0
26,0
60,0
54,3
62,0
57,2
59,0
46,4
44,4
48,4
43,2
57,4
46,3
40,3
54,1
57,1
44,4
47,2
47,4
50,2
53,3
56,1
55,1
53,4
61,1
57,2
50,2
56,2
52,2
60,0
49,4
46,4
42,1
45,3
45,4
44,3
61,0
55,3
44,4
55,1
57,2
45,2
57,0
31,0
34,2
53,1
35,1
44,4
50,1
33,3
50,3
51,4
56,4
55,3
26,0
42,3
54,2
44,3
65,0
38,3
58,3
39,3
52,2
45,3
42,3
42,2
57,4
55,3
44,3
37,3
50,3
51,2
37,1
36,2
51,2
65,1
43,2
46,3
43,2
56,3
43,3
53,1
50,2
43,3
54,3
33,2
58,2
41,3
48,3
55,2
54,2
51,3
35,3
50,3
55,4
45,0
34,2
55,4
48,2
46,4
61,0
48,1
51,1
39,3
43,3
53,3
38,2
49,2
37,0
53,3
46,2
44,3
50,1
58,2
55,3
44,3
57,4
57,1
48,3
51,1
53,3
45,1
41,4
51,4
46,2
40,5
33,2
53,1
63,1
61,0
56,4
53,2
62,2
50,4
37,4
62,0
49,3
57,3
55,2
50,1
48,3
60,1
46,1
47,2
54,2
53,2
56,3
56,4
41,3
60,1
40,5
49,3
46,4
36,3
57,2
38,1
50,3
62,0
43,3
44,5
39,2
38,2
44,4
43,3
54,1
38,3
55,2
42,5
56,3
59,1
46,4
55,2
52,1
39,2
42,4
43,4
47,1
42,4
39,1
50,1
57,2
41,4
52,1
43,2
42,3
58,2
42,4
55,1
38,2
40,2
48,4
32,1
33,2
58,2
26,0
46,0
39,1
36,1
43,2
45,2
51,3
62,0
58,0
42,4
49,4
53,3
45,2
29,2
60,1
50,3
53,3
45,3
50,2
46,2
61,0
46,4
62,1
43,3
54,4
50,2
35,2
35,3
36,1
42,3
39,2
50,1
43,3
39,1
47,2
60,1
30,2
44,4
52,0
45,4
40,4
36,3
65,0
35,0
54,2
53,3
62,1
40,2
41,4
53,2
30,1
46,3
29,0
37,3
51,1
31,0
45,2
57,1
